ID,createdAt,createdBy,modifiedAt,modifiedBy,grade,student_ID,signature_ID
gs-001,2026-09-01T09:00:00Z,seed,2026-09-01T09:00:00Z,seed,91,stu-001,sig-001
gs-002,2026-09-01T09:05:00Z,seed,2026-09-01T09:05:00Z,seed,78,stu-001,sig-002
gs-003,2026-09-01T09:10:00Z,seed,2026-09-01T09:10:00Z,seed,85,stu-001,sig-003
gs-004,2026-09-01T09:15:00Z,seed,2026-09-01T09:15:00Z,seed,87,stu-002,sig-001
gs-005,2026-09-01T09:20:00Z,seed,2026-09-01T09:20:00Z,seed,90,stu-002,sig-002
gs-006,2026-09-01T09:25:00Z,seed,2026-09-01T09:25:00Z,seed,95,stu-003,sig-003
gs-008,2026-09-01T09:30:00Z,seed,2026-09-01T09:30:00Z,seed,88,stu-001,sig-004
gs-009,2026-09-01T09:35:00Z,seed,2026-09-01T09:35:00Z,seed,92,stu-001,sig-005
gs-010,2026-09-01T09:40:00Z,seed,2026-09-01T09:40:00Z,seed,82,stu-002,sig-003
gs-011,2026-09-01T09:45:00Z,seed,2026-09-01T09:45:00Z,seed,79,stu-002,sig-004
gs-012,2026-09-01T09:50:00Z,seed,2026-09-01T09:50:00Z,seed,85,stu-002,sig-006
gs-013,2026-09-01T09:55:00Z,seed,2026-09-01T09:55:00Z,seed,99,stu-003,sig-001
gs-014,2026-09-01T10:00:00Z,seed,2026-09-01T10:00:00Z,seed,93,stu-003,sig-002
gs-015,2026-09-01T10:05:00Z,seed,2026-09-01T10:05:00Z,seed,97,stu-003,sig-005
gs-016,2026-09-01T10:10:00Z,seed,2026-09-01T10:10:00Z,seed,70,stu-004,sig-001
gs-017,2026-09-01T10:15:00Z,seed,2026-09-01T10:15:00Z,seed,68,stu-004,sig-002
gs-018,2026-09-01T10:20:00Z,seed,2026-09-01T10:20:00Z,seed,75,stu-004,sig-004
gs-019,2026-09-01T10:25:00Z,seed,2026-09-01T10:25:00Z,seed,80,stu-004,sig-007
gs-020,2026-09-01T10:30:00Z,seed,2026-09-01T10:30:00Z,seed,100,stu-005,sig-001
gs-021,2026-09-01T10:35:00Z,seed,2026-09-01T10:35:00Z,seed,100,stu-005,sig-005
gs-022,2026-09-01T10:40:00Z,seed,2026-09-01T10:40:00Z,seed,98,stu-005,sig-006
gs-023,2026-09-01T10:45:00Z,seed,2026-09-01T10:45:00Z,seed,96,stu-005,sig-007
gs-024,2026-09-01T10:50:00Z,seed,2026-09-01T10:50:00Z,seed,99,stu-005,sig-008
gs-025,2026-09-15T10:00:00Z,seed,2026-09-15T10:00:00Z,seed,84,stu-001,sig-002
gs-026,2026-09-15T10:05:00Z,seed,2026-09-15T10:05:00Z,seed,77,stu-004,sig-001
