ID,createdAt,createdBy,modifiedAt,modifiedBy,grade,student_ID,signature_ID
gs-001,2026-09-01T09:00:00Z,seed,2026-09-01T09:00:00Z,seed,91,stu-001,sig-001
gs-002,2026-09-01T09:05:00Z,seed,2026-09-01T09:05:00Z,seed,78,stu-001,sig-002
gs-003,2026-09-01T09:10:00Z,seed,2026-09-01T09:10:00Z,seed,85,stu-001,sig-003
gs-004,2026-09-01T09:15:00Z,seed,2026-09-01T09:15:00Z,seed,87,stu-002,sig-001
gs-005,2026-09-01T09:20:00Z,seed,2026-09-01T09:20:00Z,seed,90,stu-002,sig-002
gs-006,2026-09-01T09:25:00Z,seed,2026-09-01T09:25:00Z,seed,95,stu-003,sig-003
gs-007,2026-09-01T09:30:00Z,seed,2026-09-01T09:30:00Z,seed,82,stu-002,sig-003
gs-008,2026-09-01T09:35:00Z,seed,2026-09-01T09:35:00Z,seed,99,stu-003,sig-001
gs-009,2026-09-01T09:40:00Z,seed,2026-09-01T09:40:00Z,seed,93,stu-003,sig-002
gs-010,2026-09-08T10:00:00Z,seed,2026-09-08T10:00:00Z,seed,88,stu-001,sig-001
gs-011,2026-09-08T10:05:00Z,seed,2026-09-08T10:05:00Z,seed,74,stu-001,sig-002
gs-012,2026-09-08T10:10:00Z,seed,2026-09-08T10:10:00Z,seed,96,stu-002,sig-001
